stat95,code,votes
89001,אמת,243
89001,ב,3
89001,ד,1
89001,ט,35
89001,כן,3
89001,ל,15
89001,ם,35
89001,מחל,32
89001,נ,1
89001,נץ,1
89001,קנ,12
89001,רק,1
90001,אמת,168
90001,ו,1
90001,ז,1
90001,יש,32
90001,ל,2
90001,ם,1
90001,מחל,16
90001,מרצ,31
90001,ף,1
90001,קנ,14
90001,רק,1
92001,אמת,171
92001,ו,3
92001,יש,18
92001,כן,1
92001,ל,3
92001,ם,2
92001,מחל,14
92001,מרצ,31
92001,נץ,1
92001,קך,2
92001,קנ,12
92001,רק,3
92001,שס,1
94001,אמת,60
94001,ב,1
94001,ג,1
94001,יש,39
94001,ל,6
94001,ם,3
94001,מחל,50
94001,מרצ,13
94001,נ,1
94001,נץ,4
94001,פה,1
94001,קנ,3
94001,רק,4
95001,אמת,175
95001,יש,17
95001,מחל,9
95001,מרצ,160
95001,נ,1
95001,קנ,19
96001,אמת,548
96001,יש,65
96001,כן,3
96001,ל,2
96001,ם,5
96001,מחל,48
96001,מרצ,73
96001,קנ,21
96001,רק,8
96001,ו,1
96001,נץ,1
96001,צ,1
96001,שס,1
97001,אמת,145
97001,ב,7
97001,ו,2
97001,יש,44
97001,ל,3
97001,מחל,87
97001,מרצ,27
97001,נ,1
97001,נץ,12
97001,רק,2
97001,שס,1
98001,אמת,83
98001,ו,1
98001,יש,42
98001,ל,1
98001,ם,1
98001,מחל,49
98001,מרצ,24
98001,נץ,4
98001,קנ,4
99001,אמת,122
99001,ב,159
99001,ג,11
99001,ו,8
99001,זנ,3
99001,יש,135
99001,כן,58
99001,ל,449
99001,ם,369
99001,מחל,554
99001,מרצ,68
99001,נץ,22
99001,קנ,60
99001,רק,7
99001,שס,81
99001,ד,2
99001,ט,2
99001,עם,14
99001,ף,1
99001,קך,2
99001,נ,2
99001,פה,1
99001,צף,1
99001,ק,1
102001,אמת,9
102001,יש,11
102001,כן,1
102001,ל,2
102001,מחל,6
102001,מרצ,8
102001,נץ,2
102001,קנ,1
102001,רק,2
102001,שס,1
103001,אמת,81
103001,ב,5
103001,יש,43
103001,ל,7
103001,ם,1
103001,מחל,104
103001,מרצ,22
103001,פה,1
103001,קנ,2
103001,רק,1
103001,שס,3
104001,אמת,195
104001,ו,1
104001,יש,30
104001,ל,1
104001,מחל,12
104001,מרצ,207
104001,נ,1
104001,קנ,17
104001,רק,1
106001,ב,3
106001,ג,29
106001,יש,8
106001,כן,1
106001,ל,9
106001,מחל,12
106001,נץ,13
106001,שס,20
107001,אמת,19
107001,יש,10
107001,ל,2
107001,ם,3
107001,מחל,18
107001,מרצ,7
107001,קנ,1
107001,שס,1
112001,אמת,51
112001,ב,89
112001,ג,21
112001,יש,58
112001,ל,12
112001,ם,1
112001,מחל,73
112001,מרצ,8
112001,נץ,3
112001,קנ,1
112001,רק,2
112001,שס,8
