stat08,semel,sa,eligible,voted,valid,n_ballots,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
40100001,4010,1,94,63,63,1,8,0,0,0,0,0,0,4,0,0,5,0,5,11,3,0,0,0,0,0,0,12,0,0,0,0,0,1,11,0,0,3,0,0
10460001,1046,1,231,163,162,1,19,0,0,0,0,0,0,1,0,0,12,0,12,46,8,0,0,4,0,0,0,20,0,0,0,0,0,3,18,0,2,5,0,12
27100013,2710,13,4848,3096,3074,8,13,8,642,0,1,1,1634,0,0,0,1,0,1,1,18,0,0,0,1,725,0,1,2,1,0,0,2,2,5,3,8,1,1,2
27100012,2710,12,3717,2191,2153,6,9,0,560,0,0,0,1029,0,0,0,3,0,2,5,18,0,0,0,0,474,0,3,0,0,0,1,1,3,30,1,9,1,0,4
27100011,2710,11,1659,764,756,3,0,1,141,0,1,0,372,0,0,0,0,0,0,0,10,0,0,0,0,207,0,0,0,0,0,1,0,1,2,0,2,0,1,17
27100031,2710,31,2585,1390,1379,4,22,1,327,1,1,1,562,0,0,0,1,0,1,6,19,0,0,0,3,333,1,3,0,0,0,0,0,7,5,2,2,2,0,79
27100021,2710,21,3524,1873,1846,5,10,2,414,0,2,2,936,2,0,0,1,0,0,2,36,0,0,0,2,392,2,2,0,0,0,0,1,6,29,0,3,0,1,1
27100014,2710,14,2275,1303,1286,4,3,1,336,0,0,0,687,0,0,0,1,1,0,0,15,0,2,0,0,227,0,0,0,0,0,0,0,0,9,0,3,1,0,0
27100034,2710,34,4391,2562,2538,6,8,0,514,0,0,1,1222,0,0,0,1,0,1,3,32,2,0,0,0,711,0,1,1,0,0,0,0,6,7,3,23,0,1,1
27100033,2710,33,3309,1812,1797,5,19,5,385,0,1,0,884,1,0,1,0,0,2,1,36,0,1,0,0,447,0,2,0,1,0,0,0,4,3,0,3,1,0,0
27100015,2710,15,1946,1041,1015,3,5,1,201,0,0,0,546,1,0,0,0,0,0,1,10,0,0,0,0,242,0,3,0,0,0,0,0,1,2,0,0,1,0,1
20240001,2024,1,570,312,310,1,13,1,85,0,0,0,26,0,0,0,0,0,0,4,37,0,0,0,0,134,0,0,0,0,0,0,0,2,0,0,3,1,1,3
13580001,1358,1,1058,528,521,2,6,0,61,1,0,0,2,0,0,0,3,0,0,8,1,0,0,1,2,372,0,1,0,0,0,0,0,0,1,2,1,2,0,57
11080001,1108,1,276,150,146,1,16,1,0,0,0,0,0,0,0,0,23,0,2,63,2,0,0,3,0,0,1,17,1,0,0,1,0,1,6,0,0,3,0,6
6800001,680,1,452,343,339,1,99,0,0,0,0,0,0,4,0,1,12,0,12,29,24,0,0,0,0,0,0,111,2,0,0,0,0,4,35,0,0,3,0,3
310002,31,2,5360,2757,2714,10,166,39,3,1,0,1,4,6,0,1,366,30,43,969,26,1,2,71,2,1,1,128,29,3,0,2,1,50,150,2,1,26,4,585
310003,31,3,1868,890,875,3,28,26,0,0,1,1,1,3,0,1,89,7,23,272,9,0,1,19,2,0,0,45,9,0,0,1,0,10,45,2,1,8,2,269
310007,31,7,6283,3837,3777,11,178,498,1,1,3,0,3,12,0,4,367,48,55,1122,28,0,2,38,1,2,2,210,25,1,0,3,2,35,164,4,1,59,1,907
310006,31,6,3741,2628,2608,7,46,881,1,0,3,0,1,3,0,1,119,11,16,401,9,0,0,21,0,1,1,59,32,1,0,2,1,8,49,3,1,16,4,917
310004,31,4,1112,767,761,2,25,120,0,0,0,0,0,1,0,0,136,0,21,160,2,0,0,23,0,1,0,39,5,0,0,0,0,7,23,0,0,3,2,193
12940001,1294,1,161,104,102,1,0,45,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,46
670001,67,1,512,394,393,1,163,0,0,0,0,0,1,7,0,0,6,0,53,19,52,0,0,3,1,0,0,46,0,0,0,0,0,3,31,0,0,5,1,2
24000004,2400,4,3642,1963,1914,7,108,18,0,0,5,0,2,5,0,1,110,4,45,724,14,2,0,25,2,2,0,140,34,13,0,2,2,7,70,1,2,10,7,559
24000002,2400,2,2570,1596,1564,4,171,8,1,0,41,0,5,6,0,5,94,3,45,454,44,0,0,18,1,1,0,162,16,7,0,6,0,12,79,0,3,13,7,362
24000009,2400,9,2824,1874,1845,5,198,13,1,0,1,0,5,1,0,3,112,0,61,513,52,2,0,10,0,2,0,320,17,3,0,1,1,25,109,0,0,15,4,376
24000005,2400,5,1026,581,564,2,25,9,0,2,1,0,1,1,0,0,18,0,10,223,3,1,0,13,0,3,0,37,5,4,0,1,1,5,15,2,0,5,2,177
24000008,2400,8,3011,1828,1789,5,97,17,0,0,1,0,0,3,0,0,89,2,47,707,11,0,0,42,1,3,0,107,25,4,0,3,1,11,57,2,0,14,2,543
24000012,2400,12,2713,1674,1660,5,140,15,1,0,1,0,1,5,0,3,127,0,66,572,21,0,0,36,0,1,0,175,29,6,0,0,1,13,68,0,1,16,5,357
24000003,2400,3,4245,2603,2560,7,218,18,0,1,3,2,2,8,0,3,139,3,91,819,37,0,0,41,1,1,0,335,43,23,0,2,1,27,108,2,1,27,1,603
24000007,2400,7,721,390,386,1,29,5,0,0,0,0,1,2,0,0,15,1,2,138,4,0,0,8,0,0,0,34,7,4,0,0,0,2,19,1,0,2,1,111
24000010,2400,10,2904,2229,2215,5,291,9,0,0,2,0,4,13,0,2,94,0,66,600,87,0,0,12,0,0,1,657,13,2,0,1,0,28,176,1,1,21,3,131
24000001,2400,1,1756,1206,1192,3,131,9,0,0,4,0,1,1,0,0,76,4,33,418,16,0,0,33,0,0,0,228,14,2,0,3,0,7,46,1,0,13,2,150
24000013,2400,13,439,334,330,1,23,7,0,0,0,0,0,2,0,0,39,0,19,97,2,0,0,0,0,0,0,25,4,0,0,0,0,2,12,1,0,4,0,93
10200003,1020,3,8829,4611,4529,14,204,31,0,2,5,4,0,22,0,16,500,42,102,1977,39,1,2,68,4,1,2,281,111,6,0,3,4,56,101,3,2,60,6,874
10200002,1020,2,1176,438,429,2,18,2,0,0,1,1,1,2,0,0,40,1,10,216,2,0,0,8,1,0,0,16,14,1,0,1,0,4,7,0,0,12,1,70
10200004,1020,4,1755,974,961,3,59,6,0,0,0,0,1,2,0,5,67,26,27,494,22,0,1,10,2,0,3,85,8,1,0,1,0,18,44,2,2,9,0,66
10200005,1020,5,1142,618,603,2,25,2,1,0,0,0,0,2,0,2,41,15,6,363,12,0,0,5,0,0,1,55,2,3,0,0,1,1,35,0,1,8,1,21
10200001,1020,1,1226,770,760,2,61,3,0,0,0,1,0,3,0,1,94,0,24,295,7,0,0,11,1,0,0,110,11,0,0,0,0,10,29,0,0,8,5,86
7800001,780,1,770,556,554,2,67,2,0,0,0,1,2,4,0,0,52,0,40,147,26,0,0,12,0,0,0,58,9,0,0,0,0,35,34,0,1,11,1,52
20120001,2012,1,401,285,285,1,96,0,0,0,0,0,0,3,0,0,16,0,6,38,28,0,0,2,0,0,0,51,0,0,0,0,0,8,23,0,0,9,2,3
40130001,4013,1,198,142,142,1,32,0,0,0,0,0,0,0,0,0,14,0,1,17,6,0,0,0,0,0,0,53,0,0,0,0,0,5,9,0,0,2,1,2
4030001,403,1,437,254,252,1,118,0,0,0,0,0,9,4,0,0,6,1,6,15,44,0,0,1,0,0,2,28,0,0,0,0,0,1,11,0,2,3,0,1
37600001,3760,1,5049,3999,3979,9,432,11,0,0,2,0,3,39,0,10,586,1,71,1062,105,0,1,38,3,0,1,1192,15,0,0,1,0,54,214,0,1,52,11,74
2780001,278,1,337,232,228,1,103,0,0,0,0,0,1,6,0,0,1,0,0,19,26,0,0,0,0,0,0,45,0,0,0,0,0,6,16,0,0,4,1,0
5650002,565,2,5469,3580,3536,8,552,36,0,0,0,1,3,42,0,10,273,13,89,974,106,2,0,51,0,2,0,701,16,2,0,0,2,30,233,4,1,38,12,343
5650001,565,1,1464,1137,1125,2,119,8,0,0,1,0,1,15,0,0,70,2,33,330,18,0,1,10,0,0,0,269,6,1,0,0,0,14,80,0,1,20,3,123
5650003,565,3,2250,1487,1475,4,211,12,0,2,4,0,0,8,0,3,120,4,17,446,27,0,1,23,0,0,0,296,20,0,0,0,1,16,96,0,1,17,1,149
11570001,1157,1,181,144,144,1,41,2,0,0,1,0,0,1,0,0,13,0,4,20,7,0,0,1,0,0,0,28,1,0,0,0,0,3,16,0,0,2,0,4
8210001,821,1,350,227,225,1,3,2,0,0,0,0,0,0,0,0,52,0,13,90,0,0,0,1,0,2,0,4,2,0,0,0,0,2,1,0,0,7,0,46
13300001,1330,1,1277,963,955,2,193,4,0,0,0,0,1,6,0,3,78,2,19,236,25,0,0,16,0,0,0,274,0,1,0,0,0,13,61,0,2,7,1,13
7850001,785,1,530,406,404,1,13,5,0,0,0,0,0,2,0,0,104,0,4,150,2,0,0,15,0,0,0,7,51,0,0,1,0,7,5,0,0,0,1,37
8500001,850,1,645,453,451,2,59,1,0,0,0,0,0,3,0,1,42,0,38,118,7,0,0,1,0,0,0,94,0,0,0,1,1,5,46,1,0,7,1,25
8040001,804,1,811,586,583,2,20,3,0,0,0,0,0,0,0,1,29,0,32,157,0,0,0,4,1,0,0,21,3,0,0,0,0,5,8,0,0,2,0,297
7970001,797,1,972,765,764,2,5,10,0,0,0,0,0,3,0,0,172,0,3,105,0,0,0,23,0,0,0,11,90,0,0,0,0,5,1,0,2,3,2,329
3380001,338,1,118,14,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,2
